שם מלא,תפקיד,רקע מקצועי
עינת כץ -שרוני,"מנהלת הכשרות ופיתוח ידע, קרן שחף","עינת היא מנהלת ידע והדרכה בתוכנית הלאומית להכשרת הנדסאים וטכנאים מוסמכים. בעברה היא הקימה וניהלה את מרכז לאודר לתעסוקה, ארץעיר, J.N.F וקרן לאודר ועבדה כמנהלת תוכניות במכון לממשל ולמדיניות בג'וינט. במסגרת תפקידה הובילה את ההכשרה ובניית הרשת לעבור בעלי תפקיד חדש בשלטון המקומי (ממצה משאבים ומפתח כלכלי). לפני כן הייתה סגנית ממונה מחוזית ואחראית גיל רך בתכנית הלאומית לילדים ונוער בסיכון. במסגרת תפקידה הייתה אחראית על ייסוד ועל הובלת שותפויות בין-משרדיות הנוגעות לילדים ולנוער בסיכון בגישת הקולקטיב אימפקט. קודם לכן היא עבדה במכון ברנקו וייס לטיפוח החשיבה בתפקידי ניהול והובלה של תוכניות חינוכיות ותפקידי ארגון ומטה, והתמחתה בתהליכי עבודה על פי תפיסת “הוראה לשם הבנה”. בנוסף, עינת עבדה כיועצת ארגונית במגזר העסקי בחברת לוטם וניהלה את מדור פיתוח ההכשרות של חיל המודיעין."
ליאת בן אבו,"סמנכ""לית תכנון בחברת אאורה מחדשים את ישראל","ליאת היא סמנכ""לית תכנון בחברת אאורה מחדשים את ישראל. לפני כן שימשה כמהנדסת העיר אור יהודה. במסגרת תפקידה הייתה אחראית על תכנון שטח השיפוט של הרשות, כולל קידום ותכנון מדיניות התכנון העירונית בהתאמה לעיר הקיימת ולטווח הרחוק, ובהתאמה למדיניות התכנון של מטרופולין תל אביב. בנוסף, היא קידמה תוכניות אב, תוכנית מתאר כוללנית ותוכניות רוחביות ברשות, עסקה בתוכניות תשתיות לאומיות ובתוכניות למתחמי דיור מועדפים, ותרגמה אותן לרמת הוצאת היתרי בנייה, הכנת תוכניות עבודה שנתיות לאגף ההנדסה, בקרה על ביצוען, בקרה על עבודת מחלקת תכנון, רישוי, פיקוח, השבחה, תשתיות, נגישות וקיימות ורישוי עסקים, וטיפול ומתן אישורי בנייה. בעבר כיהנה כמנהלת מחלקת רישוי בנייה בעיריית אור יהודה וכמנהלת תפעול וועדת בניין ערים בעיריית אשדוד. את עבודתה ברשויות המקומיות התחילה ליאת כבודקת רישוי, ומשם התקדמה עד לתפקידה הנוכחי כשהיא מציבה את התושב במרכז, משלבת אותו בתהליכי התכנון ויוצרת עבורו תהליכים מקוצרים, פשוטים ובשקיפות מלאה."
יניב אבוחצירא,ניהול פרויקט הקמת מפעל טופגאם בשדרות,"יניב, מהנדס תעשייה וניהול במקצועו, הוא יזם עסקי ומכהן כמנהל פרויקט הקמת מפעל טופגאם בשדרות. בתום לימודיו הצטרף מיד למשפחת סודה סטרים ושימש כמנהל תפעול ישראל והיה אחראי לניהול של ארבעה מפעלי סודה סטרים, המונים כ-1500 עובדים. במסגרת תפקיד זה יניב היה אחראי לכל מערך הייצור, הלוגיסטיקה, האחזקה וההנדסה בישראל. יניב ניהל את ההקמה התפעולית של אתר הדגל של סודה סטרים, הנושאת בגאווה את השם ""אי של שלום"" ומהווה הוכחה לאפשרות לחיות בשלום ביחד ולהפוך למשפחה אחת!"
לאה אבוטבול,"מנהלת מרכז לפיתוח סגלי הוראה (פסג""ה) במחוז חיפה במשרד החינוך","לאה ממונה על אחד מהגורמים המרכזיים המשפיעים על איכות מערכת החינוך – פיתוחם המקצועי של עובדי הוראה, תהליך המתרחש לאורך כל הלמידה המקצועית שלהם (Long Life Learning). מרכז פסג""ה שהיא מנהלת אחראי על כ-6,000 עובדי הוראה מתשע רשויות. קודם לכן היא ניהלה את אגף החינוך בחדרה והובילה תהליכים רוחביים משמעותיים במערכת החינוך כמו פתיחת אזורי רישום, הטמעת פדגוגיה חדשנית ותוכניות חינוכיות לאוכלוסיות מוחלשות לצמצום הפערים. לצד אלה קידמה רפורמה מהפכנית בהיבטי תכנון ובנייה של מוסדות חינוך ברוח חדשנית ויצירת מרחבי חינוך ייחודיים. בנוסף, לאה היא מרצה ומדריכה פדגוגית בחוג להוראת מדעים במכללת גורדון."
חוסאם אבומוך,"סמנכ""ל תעסוקה ומנהל תוכנית ריאן, אלפנאר","מנהל תוכנית התעסוקה ""ריאן"" של משרד העבודה בצפון ובערים המעורבות. בעל ניסיון של יותר מ-17 שנים בניהול פרסום ושיווק מגזרי, קידום ומיתוג, קביעת אסטרטגיה שיווקית. משנת 2004 ועד 2021 מילא  שורה של תפקידים ניהוליים בחברות סלקום, החברה המרכזית למשקאות וקימברלי קלארק"
אילן אביטן,מנהל תחום - פרויקטור לקליטה וטיפול ביוצאי כת לב טהור בארץ,"אילן משמש כיום כמנהל תחום פרויקטור של  משרד הרווחה והביטחון החברתי לטיפול ביוצאי כת לב טהור שנמצאים בארץ התפקיד כולל הובלה של שולחן עבודה בין משרדי לקליטה מיטבית, ייזום בקשר עם יוצאי כת בדרכם לארץ ובניית מענים טיפוליים ושיקומיים,  שולחן העבודה הבין משרדית הוא חלק מהחלטת ממשלה לטפל בכל לב טהור ולהביא ככל האפשר לפירוקה.  לפני כן ניהל את תחום המשרד  במטה הלאומי להגנה על ילדים ברשת - מוקד 105. בתפקידו הקודם היה מנהל תחום משרד הרווחה ב מאור - מערך משולב משטרתי ואזרחי אשר הוקם בהתאם להחלטות ממשלה כדי למגר ולמנוע את תופעות הבריונות, האלימות והפשיעה ברשת. קודם לכן עבד אילן כמפקח מחוזי בשירות ילד ונוער במחוז דרום במשרד הרווחה. במסגרת תפקידו ליווה מנהלי מחלקות רווחה וצוותים מובילים במחלקות לפיתוח שירותים טיפוליים ומקצועיים בקהילה לטובת ילדים ונוער. הליווי נעשה בתחום המקצועי והתקציבי, וכן בחשיבה על בניית מענים טיפוליים רחבים. בעבודתו הקודמת ניהל מחלקה לשירותים חברתיים במועצה אזורית שפיר, ולפני כן ניהל פנימייה טיפולית לבנות מתבגרות."
שלומי אבני,"חבר ועד מנהל בעמותת נירים ומנכ""ל חברת TAGA URBANIC","שלומי הוא חבר ועד מנהל בעמותת נירים ומנכ""ל חברת TAGA URBANIC העוסקת בנדל""ן בפורטוגל. קודם לכן הוא ייסד וניהל את עמותת נירים, על שם לוחם השייטת ניר קריצ'מן ז""ל, המעניקה לבני נוער בסיכון גבוה את ההזדמנות, לעיתים האחרונה, לחזור ולהשתלב במרכז החברה הישראלית. במסגרת פעילות העמותה הוא ייסד את פרויקט נירים בשכונות המסייע לנוער בקצה רצף הסיכון בשכונות מגוריהם להשתלב בקהילה הנורמטיבית, ועל כך זכה בפרס יו”ר הכנסת לאיכות חיים לשנת 2011. במקביל לעבודתו, שלומי הוא חבר מועצת העיר אור עקיבא."
יהודה אבני,מנהל מרחב דרום בחטיבה להתיישבות,"יהודה משמש כמנהל מרחב דרום של החטיבה להתיישבות החל משנת 2019. במסגרת תפקיד זה הוא אמון על פיתוח המרחב הכפרי בהיבטי תכנון פיתוח פיזי, כלכלי וחברתי על מנת להוביל לצמיחה דמוגרפית. בתפקידיו הקודמים היה אחראי על הפיתוח הקהילתי בנגב ועל הקמת מרחב קהילות עירוני. יהודה משרת בשירות מילואים משמעותי גם היום."
נעם אבני,"מנכ""ל אלטרה ישראל","מנכ""ל אלטרה ישראל ומנהל ארגון גלובלי לפיתוח תקשורת מהירה בשבבים.
חבר ועד מנהל באג'יק"
רונן אבניאלי,מפקד מרחב שפלה במחוז מרכז במשטרת ישראל לשעבר,"בתפקידו האחרון שימש רונן כמפקד מרחב שפלה במחוז מרכז במשטרת ישראל. הוא התגייס למשטרה בשנת 1994 לאחר שירותו הצבאי בחטיבת גבעתי. בין תפקידיו הבולטים במשטרה: ראש מפלג חקירות פשיעה מאורגנת ביאחב""ל, עוזר המפכ""ל ומפקד על תחנות המשטרה בדרום תל אביב, לב הבירה ( מרכז ירושלים והמגזר החרדי), נתניה ויישובים סמוכים, , מפקד מרחב לכיש ( שדרות, אשקלון, קריית גת, קריית מלאכי ואשדוד) ומפקד מרחב השפלה (יבנה, רחובות, ראשון לציון, מודיעין, רמלה ולוד)."
